
invoked fiona  in directory /Users/niels/Documents/0 Eingang/Repositories/Papers
NET,PLACES,TRANSITIONS,INPUT,OUTPUT,CONTROLLABLE,BLUE NODES,BLUE EDGES,RED NODES,RED EDGES,STATES CALCULATED,STATES STORED IN NODES,TIME
BPM2006_shop_sect_3.owfn,61,58,4,3,YES,11,13,22,27,585,657,0
BPM2006_shop_sect_6.owfn,72,69,5,3,YES,6,5,49,82,1817,2368,0
DKE08_shop_sect_3.owfn,106,124,8,8,YES,148,318,1111,2586,35546,31280,7
DKE08_shop_sect_6.owfn,108,128,9,7,YES,5,4,946,2111,34525,30666,7

invoked fiona -r in directory /Users/niels/Documents/0 Eingang/Repositories/Papers
NET,PLACES,TRANSITIONS,INPUT,OUTPUT,CONTROLLABLE,BLUE NODES,BLUE EDGES,RED NODES,RED EDGES,STATES CALCULATED,STATES STORED IN NODES,TIME
BPM2006_shop_sect_3.owfn,61,58,4,3,YES,8,8,16,19,313,351,0
BPM2006_shop_sect_6.owfn,72,69,5,3,YES,6,5,33,43,835,1109,0
DKE08_shop_sect_3.owfn,106,124,8,8,YES,31,31,39,40,770,557,0
DKE08_shop_sect_6.owfn,108,128,9,7,YES,5,4,56,60,1026,924,0
